"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Event #","FITC-A","PE-A","(Event #%8) - 0.5 + (Event #/(89159 + 1))","Time"
18288.6,57570.7,20819,8300.88,63918.1,8511,12657,629.28,-7.5,-0.358053,2.2519
16259.2,62750.3,16981,9915.84,69868.3,9301,12665,803.52,15.75,-0.357963,2.25307
9598.08,50978.2,12339,4564.08,63546.1,4707,12673,660.24,12,-0.357873,2.25423
13882.9,56003.2,16246,6066,66190.7,6006,12681,780.48,12,-0.357784,2.2554
8994.56,49895.7,11814,4453.92,63427.2,4602,12689,655.2,21.75,-0.357694,2.25772
9003.52,57242.4,10308,6594.48,70895,6096,12697,707.04,14.25,-0.357604,2.25889
9783.68,51837.9,12369,4514.4,64135.2,4613,12705,509.04,1.5,-0.357515,2.26005
9169.28,54337.5,11059,5717.52,69764.2,5371,12721,711.36,2.25,-0.357335,2.26354
11875.2,53488.2,14550,4430.88,64673.1,4490,12729,463.68,-15.75,-0.357245,2.26471
10745,60294.7,11679,8263.44,71116.6,7615,12737,720,21.75,-0.357156,2.26587
9645.44,51661,12236,5041.44,66079.2,5000,12761,368.64,10.5,-0.356887,2.2682
14135.7,61241.2,15127,10515.6,72702.9,9479,12777,1092.96,11.25,-0.356707,2.27052
10923.5,57348.7,12483,8704.8,69106.9,8255,12785,907.2,63.75,-0.356617,2.27169
9315.2,50411.3,12110,3767.76,63395.1,3895,12793,398.88,15.75,-0.356528,2.27285
9758.72,51447.8,12431,5487.12,63725.7,5643,12801,745.92,28.5,-0.356438,2.27402
17655,57228.2,20218,9335.52,64414.9,9498,12809,702,7.5,-0.356348,2.27518
16538.9,57415.6,18878,8552.88,64561.3,8682,12817,534.24,21,-0.356258,2.27634
14567,55017.6,17352,6866.64,64694.1,6956,12825,431.28,39.75,-0.356169,2.27751
10513.3,58919,11694,7655.04,71556.2,7011,12833,825.12,-6.75,-0.356079,2.27867
10099.2,57264.3,11558,6194.88,71451.6,5682,12849,577.44,32.25,-0.3559,2.281
7322.24,48816.9,9830,3438,64875.5,3473,12857,314.64,26.25,-0.35581,2.28333
14602.2,57638.5,16603,9848.16,69027.7,9350,12873,665.28,37.5,-0.35563,2.28565
