,x,y,color,trajectory
163,2,9.863112418827043,1,23
164,3,9.858940835088628,1,23
165,4,9.613131299575263,1,23
166,5,9.581553926489349,1,23
167,6,9.478874391830969,1,23
168,0,9.033693603863576,5,24
169,1,9.033693603863576,5,24
170,2,8.46003524570378,5,24
171,3,8.37462176342425,5,24
172,4,8.293047785119859,5,24
173,5,7.834042053087565,5,24
174,6,9.478874391830969,5,24
175,0,9.033693603863576,5,25
176,1,8.889120769392049,5,25
177,2,8.752981537660006,5,25
178,3,8.844508545102459,5,25
179,4,7.512986743574658,5,25
180,5,7.235573573931141,5,25
181,6,9.478874391830969,5,25
182,0,9.033693603863576,2,26
183,1,8.875364418529266,2,26
184,2,8.142919172092656,2,26
185,3,9.022950146206677,2,26
186,4,9.22549341815082,2,26
187,5,9.470006195287722,2,26
188,6,9.478874391830969,2,26
189,0,9.033693603863576,3,27
190,1,9.044413687119954,3,27
191,2,7.790143973929541,3,27
192,3,7.380707272704686,3,27
193,4,8.967755512326798,3,27
194,5,9.137554695794105,3,27
195,6,9.478874391830969,3,27
196,0,9.033693603863576,2,28
197,1,9.033693603863576,2,28
198,2,8.167713363783703,2,28
199,3,9.479882714946676,2,28
200,4,9.465008863410942,2,28
201,5,9.521766176540728,2,28
202,6,9.478874391830969,2,28
203,0,9.033693603863576,2,29
204,1,8.251122151855968,2,29
205,2,8.686426122481167,2,29
206,3,9.764391265271902,2,29
207,4,9.6183056526084,2,29
208,5,9.517928035459263,2,29
209,6,9.478874391830969,2,29
210,0,9.033693603863576,0,30
211,1,9.58814486206819,0,30
212,2,9.315334974699676,0,30
213,3,9.496841221309808,0,30
214,4,9.613131299575263,0,30
215,5,9.503931323064196,0,30
216,6,9.478874391830969,0,30
217,0,9.033693603863576,5,31
218,1,9.128955361214643,5,31
219,2,8.939966027042116,5,31
220,3,8.977263843970379,5,31
221,4,8.692034755271855,5,31
222,5,7.235573573931141,5,31
223,6,9.478874391830969,5,31
224,0,9.033693603863576,0,32
225,1,9.860769343936289,0,32
226,2,9.762772120254008,0,32
227,3,9.527803229997728,0,32
228,4,9.514503845435684,0,32
229,5,9.517928035459263,0,32
230,6,9.478874391830969,0,32
231,0,9.033693603863576,3,33
232,1,8.889120769392049,3,33
233,2,8.612233285715774,3,33
234,3,8.488790238676975,3,33
235,4,9.539266441088088,3,33
236,5,9.414755202119856,3,33
237,6,9.478874391830969,3,33
238,0,9.033693603863576,5,34
239,1,8.918407002241752,5,34
240,2,8.924142722802605,5,34
241,3,8.192167764241116,5,34
242,4,7.910754320888263,5,34
243,5,7.554561710895608,5,34
244,6,9.478874391830969,5,34
245,0,9.033693603863576,5,35
246,1,8.875364418529266,5,35
247,2,8.802274271135879,5,35
248,3,8.075749151579059,5,35
249,4,8.071000706107016,5,35
250,5,7.676506687982219,5,35
251,6,9.478874391830969,5,35
252,0,9.033693603863576,5,36
253,1,9.033693603863576,5,36
254,2,9.008580126746784,5,36
255,3,8.802155496471519,5,36
256,4,7.929800260493368,5,36
257,5,7.2530026491555875,5,36
258,6,9.478874391830969,5,36
259,0,9.033693603863576,2,37
260,1,9.033693603863576,2,37
261,2,8.736057198316635,2,37
262,3,9.708880297825187,2,37
263,4,9.444477224023888,2,37
